,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,media_movel_casos,media_movel_obitos
342470,,32.0,2020-06-03,202023,4064052.0,4018650.0,False,False,16121,396.67307,2020-06-03,0.0433,698,91,state,ES,970,34,662.4285714285714,26.714285714285715
342550,,32.0,2020-06-04,202023,4064052.0,4018650.0,False,False,16894,415.6935,2020-06-04,0.0436,737,92,state,ES,773,39,670.1428571428571,28.428571428571427
342630,,32.0,2020-06-05,202023,4064052.0,4018650.0,False,False,18109,445.58977000000004,2020-06-05,0.0431,780,93,state,ES,1215,43,743.7142857142857,31.428571428571427
342710,,32.0,2020-06-06,202023,4064052.0,4018650.0,False,False,18950,466.2834,2020-06-06,0.0425,806,94,state,ES,841,26,787.5714285714286,31.857142857142858
342790,,32.0,2020-06-07,202024,4064052.0,4018650.0,False,False,19619,482.74481,2020-06-07,0.0424,832,95,state,ES,669,26,847.0,32.57142857142857
342870,,32.0,2020-06-08,202024,4064052.0,4018650.0,False,False,20659,508.33502999999996,2020-06-08,0.0422,871,96,state,ES,1040,39,910.5714285714286,34.714285714285715
342950,,32.0,2020-06-09,202024,4064052.0,4018650.0,False,False,21964,540.4458400000001,2020-06-09,0.0412,904,97,state,ES,1305,33,973.2857142857143,34.285714285714285
343030,,32.0,2020-06-10,202024,4064052.0,4018650.0,False,False,23391,575.55858,2020-06-10,0.0401,937,98,state,ES,1427,33,1038.5714285714287,34.142857142857146
343110,,32.0,2020-06-11,202024,4064052.0,4018650.0,False,False,24428,601.0749900000001,2020-06-11,0.0395,966,99,state,ES,1037,29,1076.2857142857142,32.714285714285715
343190,,32.0,2020-06-12,202024,4064052.0,4018650.0,False,False,25502,627.50181,2020-06-12,0.0392,999,100,state,ES,1074,33,1056.142857142857,31.285714285714285
343270,,32.0,2020-06-13,202024,4064052.0,4018650.0,False,False,26011,640.02626,2020-06-13,0.0395,1028,101,state,ES,509,29,1008.7142857142857,31.714285714285715
343350,,32.0,2020-06-14,202025,4064052.0,4018650.0,False,False,26469,651.2958,2020-06-14,0.0399,1055,102,state,ES,458,27,978.5714285714286,31.857142857142858
343430,,32.0,2020-06-15,202025,4064052.0,4018650.0,False,False,27652,680.40468,2020-06-15,0.0393,1087,103,state,ES,1183,32,999.0,30.857142857142858
343510,,32.0,2020-06-16,202025,4064052.0,4018650.0,False,False,29030,714.31173,2020-06-16,0.039,1132,104,state,ES,1378,45,1009.4285714285714,32.57142857142857
343590,,32.0,2020-06-17,202025,4064052.0,4018650.0,False,False,30507,750.65477,2020-06-17,0.0386,1179,105,state,ES,1477,47,1016.5714285714286,34.57142857142857
343670,,32.0,2020-06-18,202025,4064052.0,4018650.0,False,False,31772,781.78134,2020-06-18,0.0385,1223,106,state,ES,1265,44,1049.142857142857,36.714285714285715
343750,,32.0,2020-06-19,202025,4064052.0,4018650.0,False,False,33232,817.7060700000001,2020-06-19,0.0381,1267,107,state,ES,1460,44,1104.2857142857142,38.285714285714285
343830,,32.0,2020-06-20,202025,4064052.0,4018650.0,False,False,34238,842.45969,2020-06-20,0.0379,1297,108,state,ES,1006,30,1175.2857142857142,38.42857142857143
343910,,32.0,2020-06-21,202026,4064052.0,4018650.0,False,False,34866,857.91225,2020-06-21,0.0381,1328,109,state,ES,628,31,1199.5714285714287,39.0
343990,,32.0,2020-06-22,202026,4064052.0,4018650.0,False,False,36147,889.43252,2020-06-22,0.0384,1387,110,state,ES,1281,59,1213.5714285714287,42.857142857142854
344070,,32.0,2020-06-23,202026,4064052.0,4018650.0,False,False,36827,906.1645900000001,2020-06-23,0.0387,1425,111,state,ES,680,38,1113.857142857143,41.857142857142854
344150,,32.0,2020-06-24,202026,4064052.0,4018650.0,False,False,38483,946.9121,2020-06-24,0.038,1463,112,state,ES,1656,38,1139.4285714285713,40.57142857142857
344230,,32.0,2020-06-25,202026,4064052.0,4018650.0,False,False,40406,994.2294,2020-06-25,0.0369,1490,113,state,ES,1923,27,1233.4285714285713,38.142857142857146
344310,,32.0,2020-06-26,202026,4064052.0,4018650.0,False,False,41652,1024.88846,2020-06-26,0.0362,1507,114,state,ES,1246,17,1202.857142857143,34.285714285714285
344390,,32.0,2020-06-27,202026,4064052.0,4018650.0,False,True,41652,1024.88846,2020-06-26,0.0362,1507,115,state,ES,0,0,1059.142857142857,30.0
344470,,32.0,2020-06-28,202027,4064052.0,4018650.0,False,False,43683,1074.86322,2020-06-28,0.0358,1566,116,state,ES,2031,59,1259.5714285714287,34.0
344550,,32.0,2020-06-29,202027,4064052.0,4018650.0,False,False,45097,1109.65608,2020-06-29,0.0359,1620,117,state,ES,1414,54,1278.5714285714287,33.285714285714285
344630,,32.0,2020-06-30,202027,4064052.0,4018650.0,False,False,46893,1153.84843,2020-06-30,0.0351,1647,118,state,ES,1796,27,1438.0,31.714285714285715
344710,,32.0,2020-07-01,202027,4064052.0,4018650.0,False,False,48821,1201.28876,2020-07-01,0.0347,1692,119,state,ES,1928,45,1476.857142857143,32.714285714285715
344790,,32.0,2020-07-02,202027,4064052.0,4018650.0,False,False,50242,1236.25387,2020-07-02,0.0344,1727,120,state,ES,1421,35,1405.142857142857,33.857142857142854
344870,,32.0,2020-07-03,202027,4064052.0,4018650.0,False,False,51689,1271.8587300000002,2020-07-03,0.034,1758,121,state,ES,1447,31,1433.857142857143,35.857142857142854
344950,,32.0,2020-07-04,202027,4064052.0,4018650.0,False,False,52824,1299.7865199999999,2020-07-04,0.0337,1781,122,state,ES,1135,23,1596.0,39.142857142857146
345030,,32.0,2020-07-05,202028,4064052.0,4018650.0,False,False,53393,1313.78732,2020-07-05,0.0338,1803,123,state,ES,569,22,1387.142857142857,33.857142857142854
345110,,32.0,2020-07-06,202028,4064052.0,4018650.0,False,False,54547,1342.18263,2020-07-06,0.0337,1836,124,state,ES,1154,33,1350.0,30.857142857142858
345190,,32.0,2020-07-07,202028,4064052.0,4018650.0,False,False,56703,1395.23313,2020-07-07,0.0331,1879,125,state,ES,2156,43,1401.4285714285713,33.142857142857146
345270,,32.0,2020-07-08,202028,4064052.0,4018650.0,False,False,58841,1447.8407300000001,2020-07-08,0.0325,1912,126,state,ES,2138,33,1431.4285714285713,31.428571428571427
